瑞榮燒臘,0-100,港式料理,飯類,麵類,後門
采味食光Give Happiness,100-200,飯類,麵類,null,後門
穰穰-大安銅板美食|大安必吃小吃|台大美食|科技大樓美食|大安牛肉麵|大安魯肉飯,0-100,飯類,麵類,null,後門
合益佳雞肉飯,0-100,飯類,麵類,null,後門
叮叮食堂,0-100,飯類,null,null,後門
控糖餐飲食堂,0-100,日式丼飯,null,null,後門
蔥燉牛肉麵,0-100,麵類,null,null,後門
四面八方,0-100,麵類,水餃,null,後門
郭董麻辣牛肉麵,0-100,飯類,麵類,null,後門
二八麵堂,0-100,飯類,麵類,null,後門
好好吃麵,0-100,麵類,null,null,後門
小李子蘭州牛肉拉麵館,100-200,飯類,麵類,null,後門
96巷麵店,0-100,麵類,null,null,後門
李記水餃,0-100,麵類,水餃,null,後門
大李水餃,0-100,麵類,水餃,null,後門
依依平價小火鍋,100-200,火鍋,null,null,後門
池先生 Kopitiam (公館店),100-200,馬來西亞料理,咖哩飯,null,後門
就是幸福鍋物-大安推薦個人鍋|平價火鍋|必吃鍋物|必吃火鍋|在地推薦火鍋|CP鍋物,100-200,火鍋,null,null,後門
貝菈小屋,200-300,義大利麵,燉飯,null,後門
I’m Pasta 和平店,100-200,義大利麵,燉飯,null,後門
微笑廚房洋食館,100-200,義大利麵,燉飯,排餐,後門
3隻貓頭鷹文創,200-300,早午餐,義大利麵,燉飯,後門
Barkers,200-300,早午餐,義大利麵,漢堡,後門
格芮潘義式創意廚房,100-200,義大利麵,燉飯,null,後門
紫牛平價牛排,100-200,排餐,飯類,null,後門
Mr.Smile 好吃雞排,0-100,炸物,null,null,後門
源士林粥品（台大店）,0-100,粥,null,null,後門
阿英海產粥,100-200,粥,null,null,後門
小姐姐麻辣食堂,100-200,火鍋,null,null,後門
好餵健康餐盒,100-200,飯類,null,null,後門
蘇草salvia,200-400,早午餐,義大利麵,null,後門
Stoppage Time 補時,200-300,咖啡廳,早午餐,飯類,後門
臺大黑飯糰,0-100,飯糰,null,null,後門
Ooh Cha Cha 自然食科技大樓 & Hooch,200-300,素食,漢堡,沙拉,後門
全國食養健康素食自助餐 大安復興店,0-100,素食,null,null,後門
卡帛素食烘培‧義式廚房‧港式餐點 總店,200-300,義大利麵,燉飯,素食,後門
貞有緣素食,0-100,飯類,麵類,素食,後門
蔬菓in,0-100,飯類,麵類,素食,後門
スシロー壽司郎 台北公館店,100-200,日式壽司,null,null,公館
靜壽司,200-300,日式壽司,日式丼飯,null,公館
赤神日式豬排公館店,300-400,日式豬排飯,null,null,公館
貓大福,100-200,日式丼飯,火鍋,null,公館
心KOKORO食堂/台北日式料理/公館美食/公館小吃/公館餐廳/公館日式料理/公館壽司,200-300,日式壽司,日式丼飯,null,公館
丼壽司,100-300,日式壽司,日式丼飯,null,公館
韓天閣,100-300,韓式料理,null,null,公館
小飯館兒,100-300,韓式料理,null,null,公館
首爾之家,200-400,韓式料理,null,null,公館
韓江館銅盤烤肉,300-500,韓式料理,烤肉,null,公館
樂樂韓食,100-200,韓式料理,null,null,公館
巫雲,300-400,雲南料理,null,null,公館
沙嗲士多,100-200,港式料理,null,null,公館
The Poutinrie,100-200,加拿大料理,null,null,公館
Falafel King 炸豆丸子國王,0-100,以色列料理,null,null,公館
阿布都中東料理Abdu Arabian Cuisine,100-300,中東料理,null,null,公館
El Sabroso Mexican Food,200-300,墨西哥料理,null,null,公館
銀座河粉蛋麵 SlNCE 1976(公館台大),0-200,越式料理,河粉,null,公館
泰豐味,100-300,泰式料理,null,null,公館
曼谷燒,100-200,泰式料理,null,null,公館
母女的店,100-300,泰式料理,null,null,公館
翠薪越南餐廳,100-300,越式料理,null,null,公館
站食可以,0-200,便當,null,null,公館
阿里媽媽南洋料理,0-200,咖哩飯,南洋料理,null,公館
泰國小館,100-300,泰式料理,null,null,公館
池先生 Kopitiam (公館店),100-200,馬來西亞料理,咖哩飯,null,公館
泰正點泰式料理 NICE THAI FOOD,200-400,泰式料理,null,null,公館
THAIHAND 右手餐廳 公館店,300-500,泰式料理,null,null,公館
泰味鮮,100-200,泰式料理,null,null,公館
阿鸞手工法國麵包,0-100,越式料理,null,null,公館
狂愛咖哩 Just Love Curry,100-200,咖哩飯,null,null,公館
虹岩屋,0-100,飯類,麵類,null,公館
幸好沒錯過你 Master K. 公館-排隊巷弄美食 隱藏日式料理(人氣必吃),100-300,蛋包飯,null,null,公館
三時午咖哩屋,0-200,咖哩飯,null,null,公館
